iter	RMSE
0	2586004.546
1	2458063.791
2	2350088.89
3	2251084.007
4	2162648.725
5	2081528.344
6	2002765.021
7	1941910.974
8	1886618.594
9	1834630.223
10	1793167.936
11	1757931.686
12	1709330.76
13	1667989.762
14	1630825.885
15	1605203.812
16	1578526.71
17	1556767.397
18	1537967.466
19	1522576.623
20	1505537.782
21	1486321.487
22	1471563.301
23	1452730.284
24	1437322.168
25	1427587.294
26	1415177.6
27	1401645.368
28	1393289.974
29	1377313.318
30	1369479.095
31	1353511.23
32	1342528.213
33	1329311.723
34	1317495.652
35	1311952.096
36	1300893.186
37	1295957.448
38	1286736.398
39	1280094.207
40	1271491.15
41	1265630.402
42	1259967.71
43	1254131.533
44	1249023.786
45	1242909.057
46	1237040.519
47	1231640.8
48	1227218.288
49	1224171.719
50	1221002.404
51	1215444.121
52	1209602.071
53	1205767.287
54	1202899.594
55	1199918.076
56	1195184.467
57	1194311.226
58	1191281.857
59	1187608.923
60	1185532.913
61	1182772.305
62	1177461.09
63	1174898.038
64	1170610.971
65	1167394.349
66	1164733.469
67	1160791.954
68	1159140.856
69	1156601.704
70	1151876.638
71	1150317.865
72	1148632.273
73	1147063.077
74	1142052.273
75	1139377.554
76	1135534.866
77	1133274.044
78	1132932.459
79	1131025.833
80	1128164.68
81	1125683.876
82	1122841.187
83	1121288.858
84	1120014.398
85	1117448.538
86	1116511.763
87	1114391.169
88	1109349.919
89	1108446.838
90	1107626.901
91	1106087.476
92	1103483.262
93	1099045.528
94	1097742.087
95	1095859.286
96	1094284.626
97	1090950.807
98	1088994.922
99	1084899.173
