iter	Passed	Remaining
0	60	60900
1	61	30716
2	62	20664
3	62	15644
4	63	12641
5	64	10614
6	64	9179
7	65	8101
8	65	7256
9	66	6578
10	66	6019
11	67	5574
12	68	5169
13	68	4847
14	69	4573
15	70	4316
16	70	4105
17	71	3904
18	72	3729
19	72	3565
20	73	3413
21	74	3290
22	74	3167
23	75	3050
24	75	2950
25	76	2858
26	76	2770
27	77	2686
28	78	2613
29	78	2549
30	79	2481
31	79	2417
32	80	2355
33	81	2303
34	81	2251
35	82	2201
36	83	2161
37	83	2120
38	84	2076
39	85	2040
40	85	2005
41	86	1972
42	87	1938
43	87	1908
44	88	1878
45	89	1848
46	89	1820
47	90	1791
48	90	1764
49	91	1738
50	92	1714
51	92	1691
52	93	1673
53	94	1651
54	94	1630
55	95	1613
56	96	1594
57	96	1573
58	97	1556
59	98	1539
60	98	1523
61	99	1504
62	100	1488
63	100	1473
64	101	1458
65	101	1443
66	102	1428
67	103	1416
68	104	1404
69	104	1392
70	105	1380
71	106	1368
72	106	1354
73	107	1341
74	107	1330
75	108	1319
76	109	1307
77	109	1297
78	110	1286
79	110	1276
80	111	1265
81	112	1256
82	112	1247
83	113	1239
84	114	1231
85	114	1222
86	115	1212
87	116	1202
88	116	1194
89	117	1186
90	117	1177
91	118	1171
92	119	1163
93	119	1155
94	120	1148
95	121	1140
96	121	1132
97	122	1125
98	122	1118
99	123	1112
100	124	1107
101	125	1100
102	125	1094
103	126	1087
104	126	1081
105	127	1074
106	127	1067
107	128	1060
108	129	1054
109	129	1049
110	130	1043
111	130	1036
112	131	1031
113	131	1025
114	132	1021
115	133	1016
116	134	1011
117	134	1007
118	135	1001
119	135	996
120	136	991
121	137	986
122	137	981
123	138	976
124	138	972
125	139	967
126	140	962
127	140	958
128	141	955
129	142	951
130	142	947
131	143	943
132	144	940
133	144	935
134	145	932
135	146	929
136	146	925
137	147	921
138	148	917
139	148	913
140	149	910
141	150	906
142	150	903
143	151	899
144	151	895
145	152	892
146	153	890
147	154	887
148	154	883
149	155	880
150	156	877
151	156	874
152	157	871
153	158	869
154	158	866
155	159	862
156	160	859
157	160	857
158	161	854
159	162	850
160	162	848
161	163	845
162	164	842
163	164	839
164	165	836
165	165	832
166	166	829
167	167	827
168	167	825
169	168	822
170	169	819
171	169	817
172	170	814
173	171	812
174	171	810
175	172	807
176	173	805
177	173	802
178	174	799
179	174	795
180	175	792
181	175	789
182	176	786
183	176	782
184	176	779
185	177	776
186	177	772
187	178	769
188	178	766
189	179	763
190	179	760
191	180	757
192	180	755
193	180	751
194	181	748
195	181	745
196	182	742
197	182	739
198	183	736
199	183	733
200	183	731
201	184	728
202	184	725
203	185	723
204	185	720
205	186	717
206	186	714
207	187	712
208	187	709
209	187	706
210	188	704
211	188	701
212	189	699
213	189	696
214	190	694
215	190	691
216	191	689
217	191	686
218	191	684
219	192	681
220	192	679
221	193	676
222	193	674
223	194	672
224	194	669
225	194	667
226	195	664
227	195	662
228	196	660
229	196	658
230	197	655
231	197	653
232	197	651
233	198	649
234	198	647
235	199	645
236	199	643
237	200	640
238	200	638
239	201	636
240	201	634
241	201	632
242	202	630
243	202	628
244	203	626
245	203	624
246	204	622
247	204	620
248	205	618
249	205	616
250	205	614
251	206	612
252	206	610
253	207	608
254	207	606
255	208	604
256	208	602
257	208	601
258	209	599
259	209	597
260	210	595
261	210	593
262	211	591
263	211	590
264	212	588
265	212	586
266	213	584
267	213	583
268	213	581
269	214	579
270	214	578
271	215	576
272	215	574
273	216	572
274	216	571
275	217	569
276	217	567
277	217	566
278	218	564
279	218	562
280	219	561
281	219	559
282	220	557
283	220	556
284	221	554
285	221	552
286	221	551
287	222	549
288	222	548
289	223	546
290	223	544
291	224	543
292	224	541
293	224	540
294	225	538
295	225	536
296	226	535
297	226	533
298	226	532
299	227	530
300	227	529
301	228	527
302	228	526
303	229	524
304	229	523
305	230	521
306	230	520
307	230	518
308	231	517
309	231	515
310	232	514
311	232	513
312	233	511
313	233	510
314	234	508
315	234	507
316	234	506
317	235	504
318	235	503
319	236	502
320	236	500
321	237	499
322	237	498
323	238	496
324	238	495
325	239	494
326	239	492
327	239	491
328	240	490
329	240	488
330	241	487
331	241	486
332	242	485
333	242	483
334	242	482
335	243	480
336	243	479
337	244	478
338	244	477
339	245	475
340	245	474
341	246	473
342	246	472
343	246	470
344	247	469
345	247	468
346	248	467
347	248	465
348	249	464
349	249	463
350	249	462
351	250	460
352	250	459
353	251	458
354	251	457
355	252	455
356	252	454
357	253	453
358	253	452
359	253	451
360	254	450
361	254	448
