iter	RMSE
0	2615969.703
1	2566462.951
2	2513865.548
3	2471719.673
4	2421322.583
5	2371600.425
6	2328723.583
7	2288516.206
8	2251036.055
9	2213661.994
10	2184935.482
11	2150139.285
12	2119310.425
13	2090827.089
14	2058283.545
15	2026649.769
16	1997898.522
17	1973338.293
18	1951490.085
19	1927478.996
20	1902704.375
21	1878937.651
22	1855420.151
23	1832245.274
24	1813107.005
25	1796271.776
26	1775563.451
27	1753589.051
28	1736007.713
29	1719540.893
30	1708099.645
31	1693164.893
32	1679570.639
33	1663552.933
34	1648517.997
35	1635095.925
36	1620321.894
37	1608847.185
38	1594987.645
39	1580678.205
40	1570023.519
41	1555844.931
42	1543522.308
43	1530855.733
44	1522338.794
45	1515192.599
46	1504973.032
47	1495771.64
48	1486278.417
49	1475854.72
50	1465173.083
51	1456967.084
52	1447951.949
53	1438503.483
54	1429877.304
55	1420549.486
56	1414974.42
57	1408047.85
58	1401259.22
59	1394259.16
60	1389449.08
61	1381424.895
62	1372189.414
63	1367163.3
64	1360336.721
65	1355434.152
66	1347823.845
67	1342044.812
68	1336275.618
69	1331382.015
70	1325865.622
71	1320854.203
72	1313880.677
73	1309701.816
74	1304481.083
75	1300431.964
76	1295728.276
77	1291474.603
78	1288020.357
79	1284543.042
80	1279174.094
81	1275923.481
82	1271487.777
83	1265731.92
84	1260067.245
85	1255516.041
86	1252351.133
87	1247628.14
88	1240516.064
89	1237855.136
90	1235019.084
91	1230810.281
92	1227878.144
93	1225011.996
94	1221917.459
95	1220140.177
96	1216758.269
97	1214699.947
98	1211825.339
99	1208062.07
100	1205554.394
101	1203131.163
102	1199990.04
103	1197697.179
104	1195144.242
105	1192715.851
106	1188372.662
107	1185248.541
108	1182555.871
109	1179568.261
110	1177328.271
111	1174979.072
112	1173419.378
113	1170476.751
114	1167281.546
115	1164775.247
116	1162154.804
117	1159583.133
118	1156858.952
119	1153731.008
120	1150004.706
121	1147808.61
122	1145603.628
123	1143199.397
124	1140692.711
125	1137957.987
126	1136318.07
127	1134005.845
128	1132717.541
129	1129730.681
130	1127493.652
131	1125097.245
132	1123908.353
133	1122460.949
134	1119147.631
135	1117064.414
136	1114956.74
137	1112605.145
138	1110272.512
139	1108596.087
140	1105112.749
141	1102196.051
142	1100364.675
143	1098751.212
144	1095955.935
145	1094679.471
146	1092818.87
147	1090586.099
148	1088957.552
149	1087591.48
150	1085645.651
151	1083429.995
152	1080601.458
153	1077875.677
154	1075680.684
155	1073086.78
156	1071372.929
157	1069549.447
158	1066915.564
159	1065531.87
160	1063964.969
161	1061905.798
162	1060144.847
163	1057708.524
164	1056798.993
165	1055495.866
166	1053337.664
167	1051999.556
168	1051060.605
169	1048892.435
170	1047603.713
171	1046132.533
172	1044427.347
173	1042865.655
174	1041725.714
175	1039944.368
176	1038601.396
177	1037458.986
178	1036229.976
179	1034871.308
180	1033930.748
181	1032347.346
182	1030776.649
183	1029689.692
184	1028354.281
185	1026808.814
186	1025830.418
187	1024554.249
188	1023490.837
189	1022042.167
190	1020587.488
191	1018834.065
192	1017374.352
193	1016497.53
194	1015163.689
195	1014431.994
196	1012214.635
197	1010583.249
198	1009144.93
199	1007819.361
200	1005837.343
201	1004888.272
202	1004253.166
203	1003348.524
204	1001504.755
205	1000279.954
206	998958.9663
207	997573.7679
208	994861.9048
209	993702.3442
210	993066.792
211	991444.4436
212	989409.0057
213	986997.7654
214	985976.2676
215	985124.7181
216	984257.0846
217	983267.5694
218	981815.3876
219	980920.1162
220	979660.1178
221	978470.0416
222	977725.1414
223	976517.0759
224	974495.585
225	973229.0061
226	971204.9596
227	969735.3138
228	968062.4574
229	965898.3968
230	964688.2961
231	963335.8464
232	961502.4643
233	960001.4981
234	958098.1982
235	956775.1098
236	955486.3021
237	954413.4894
238	953652.7284
239	951876.1735
240	950536.4263
241	949224.9892
242	947884.3735
243	946971.7909
244	945764.3576
245	944147.0061
246	943163.5973
247	941902.0953
248	940621.6173
249	939835.2086
250	938635.6118
251	937664.4711
252	936889.2756
253	936065.8203
254	935406.8226
255	934289.9724
256	932691.2636
257	931641.7582
258	930377.1604
259	929434.5168
260	928225.6353
261	927370.1115
262	926535.1828
263	925555.0078
264	924350.2906
265	923613.4636
266	922517.6438
267	921141.7081
268	920406.6542
269	919141.637
270	918096.7562
271	916890.4922
272	916255.2045
273	915143.3038
274	913595.1161
275	911692.2749
276	910660.1895
277	909826.8656
278	908060.053
279	907216.8012
280	905669.8326
281	904893.8608
282	904152.2276
283	903700.5984
284	902961.0186
285	902119.1242
286	900891.7226
287	900184.1653
288	899328.8671
289	898154.2988
290	897220.7148
291	896108.7584
292	895465.9416
293	893887.301
294	893326.9191
295	892687.6289
296	891628.5762
297	890490.6111
298	888865.2076
299	888385.3606
300	887481.3077
301	885819.7307
302	884931.181
303	883969.0969
304	883296.2528
305	882352.2629
306	881480.3063
307	880715.396
308	879266.5818
309	878287.2999
310	877515.2869
311	876585.0983
312	875458.9969
313	874853.6348
314	874521.7566
315	873633.9114
316	872784.0888
317	872413.6898
318	870875.9202
319	870074.6213
320	869643.1527
321	868568.6586
322	867878.9621
323	867103.0982
324	866352.3297
325	865907.0691
326	864879.3143
327	863940.5859
328	863429.6788
329	862806.6752
330	862035.9876
331	861454.5301
332	860751.5928
333	860014.0872
