iter	Passed	Remaining
0	0	870
1	1	750
2	2	696
3	2	700
4	3	686
5	4	676
6	4	672
7	5	665
8	6	664
9	6	664
10	7	667
11	8	681
12	9	719
13	10	711
14	10	708
15	11	700
16	11	692
17	12	692
18	13	709
19	14	706
20	15	704
21	15	707
22	16	705
23	17	704
24	18	721
25	19	740
26	20	748
27	21	750
28	22	747
29	22	743
30	23	737
31	24	734
32	25	733
33	25	725
34	26	718
35	26	715
36	27	715
37	28	713
38	28	711
39	29	712
40	30	708
41	31	708
42	31	703
43	32	697
44	32	691
45	33	687
46	33	683
47	34	682
48	34	677
49	35	673
50	35	668
51	36	670
52	37	675
53	38	672
54	39	670
55	39	668
56	40	668
57	41	666
58	41	667
59	42	670
60	43	670
61	44	668
62	44	666
63	45	664
64	46	662
65	46	659
66	47	655
67	47	653
68	48	650
69	48	646
70	49	644
71	49	641
72	50	638
73	50	636
74	51	633
75	51	630
76	52	627
77	52	624
78	53	621
79	53	618
80	54	616
81	54	615
82	55	618
83	57	623
84	58	626
85	58	624
86	59	623
87	60	623
88	61	624
89	62	630
90	63	629
91	63	627
92	64	625
93	64	622
94	65	620
95	65	618
96	66	616
97	66	614
98	67	612
99	67	609
100	68	606
101	68	604
102	69	602
103	69	601
104	70	600
105	71	599
106	71	598
107	72	600
108	73	600
109	73	598
110	74	596
111	75	595
112	75	594
113	76	592
114	76	591
115	77	590
116	78	588
117	78	588
118	79	588
119	80	589
120	80	587
121	81	586
122	81	584
123	82	583
124	83	581
125	83	580
126	84	578
127	84	576
128	85	575
129	86	577
130	87	577
131	87	576
132	88	574
133	88	573
134	89	572
135	90	572
136	90	570
137	91	569
138	91	568
139	92	566
140	92	565
141	93	564
142	93	562
143	94	561
144	94	559
145	95	558
146	95	556
147	96	555
148	96	553
149	97	552
150	97	550
151	98	549
152	99	548
153	99	546
154	99	545
155	100	545
156	101	547
157	102	548
158	103	549
159	104	548
160	105	547
161	105	546
162	106	545
163	106	543
164	107	542
165	107	541
166	108	539
167	108	538
168	109	537
169	109	536
170	110	536
171	111	535
172	111	534
173	112	533
174	113	533
175	113	532
176	114	531
177	114	530
178	115	528
179	115	527
180	116	526
181	116	525
182	117	524
183	118	523
184	118	523
185	119	522
186	120	522
187	120	521
188	121	521
189	122	520
190	122	518
191	122	517
192	123	516
193	123	514
194	124	513
195	124	512
196	125	510
197	125	509
198	126	508
199	126	507
200	127	506
201	127	504
202	128	503
203	128	502
204	129	501
205	129	500
206	130	499
207	130	498
208	131	497
209	131	496
210	132	494
211	132	493
212	133	493
213	134	494
214	135	494
215	135	493
216	136	492
217	137	492
218	137	491
219	138	490
220	139	490
221	139	489
222	140	488
223	140	487
224	141	486
225	141	485
226	142	484
227	142	483
228	143	482
229	144	482
230	144	481
231	145	481
232	146	481
233	146	481
234	147	480
235	148	479
236	148	478
237	149	477
238	149	476
239	150	475
240	150	475
241	151	474
242	151	472
243	152	471
244	152	470
245	153	469
246	153	468
247	154	467
248	154	466
249	155	465
250	155	464
251	156	463
252	156	462
253	157	461
254	157	460
255	158	461
256	159	461
257	160	461
258	161	462
259	162	463
260	163	463
261	164	462
262	164	461
263	165	461
264	165	460
265	166	459
266	166	458
267	167	457
268	167	456
269	168	455
270	169	455
271	169	454
272	170	453
273	171	453
274	171	453
275	172	452
276	173	451
277	173	451
278	174	450
279	174	449
280	175	448
281	175	447
282	176	446
283	176	445
284	177	445
285	178	445
286	179	444
287	179	444
288	180	443
289	180	442
290	181	442
291	182	441
292	182	440
293	183	439
294	183	439
295	184	438
296	184	437
297	185	437
298	186	436
299	186	435
300	187	434
301	187	434
302	188	433
303	188	432
304	189	431
305	189	430
306	190	430
307	191	429
308	191	428
309	192	427
310	192	426
311	193	426
312	193	425
313	194	424
314	195	424
315	195	423
316	196	422
317	196	422
318	197	421
319	197	420
320	198	419
321	199	419
322	199	418
323	200	417
324	200	416
325	201	416
326	201	415
327	202	414
328	202	413
329	203	412
330	203	411
331	204	411
332	204	410
333	205	409
334	205	408
335	206	407
336	206	406
337	207	405
338	207	405
339	208	404
340	208	403
341	209	403
342	210	403
343	211	402
344	211	401
345	212	401
346	212	400
347	213	399
348	214	399
349	215	399
350	215	398
351	216	398
352	216	397
353	217	396
354	217	395
355	218	395
356	219	395
357	220	394
358	220	393
359	221	393
360	221	392
361	222	391
362	222	390
363	223	389
364	223	389
365	224	388
366	224	387
367	225	387
368	226	386
369	226	386
370	227	385
371	227	384
372	228	383
373	228	383
374	229	382
375	229	381
376	230	380
377	230	379
378	231	379
379	231	378
380	232	377
381	232	376
382	233	375
383	233	375
384	234	374
385	234	373
386	235	372
387	235	371
388	236	371
389	236	370
390	237	369
391	237	368
392	238	368
393	238	367
394	239	366
395	240	366
396	241	366
397	241	365
398	242	365
399	243	364
400	243	363
401	244	363
402	244	362
403	245	361
404	245	360
405	245	359
406	246	358
407	246	358
408	247	357
409	247	356
410	248	355
411	248	355
412	249	354
413	249	353
414	250	352
415	250	352
416	251	351
417	251	350
418	252	350
419	252	349
420	253	348
421	254	348
422	254	347
423	255	346
424	255	346
425	256	345
426	257	345
427	257	344
428	258	343
429	258	343
430	259	342
431	260	342
432	261	341
433	261	341
434	262	340
435	262	339
436	263	339
437	263	338
438	264	337
439	264	336
440	265	336
441	265	335
442	266	334
443	266	333
444	267	333
445	267	332
446	267	331
447	268	330
448	268	330
449	269	329
450	269	328
451	270	327
452	270	327
453	271	326
454	271	325
455	272	325
456	273	324
457	273	324
458	274	323
459	274	322
460	275	322
461	276	321
462	276	321
463	277	320
464	277	319
465	278	318
466	278	318
467	279	317
468	279	316
469	280	315
470	280	315
471	281	314
472	281	313
473	282	313
474	282	312
475	283	311
476	283	311
477	284	310
478	284	309
479	285	309
480	285	308
481	286	307
482	287	307
483	287	307
484	294	312
485	295	312
486	296	311
487	297	311
488	297	311
489	299	311
490	301	313
491	303	313
492	304	313
493	314	321
494	314	321
495	315	320
496	316	319
497	316	319
498	317	318
499	317	317
500	320	318
501	320	318
502	321	318
503	323	318
504	325	318
505	325	318
506	326	317
507	327	316
508	327	316
509	328	315
510	329	315
511	330	314
512	331	314
513	331	313
514	332	312
515	332	312
516	333	311
517	333	310
518	334	309
519	335	309
520	335	308
521	336	307
522	337	307
523	338	307
524	338	306
525	339	305
526	339	305
527	340	304
528	341	303
529	341	303
530	342	302
531	343	301
532	344	301
533	344	300
534	345	300
535	346	299
536	346	298
537	347	298
538	347	297
539	348	296
540	348	295
541	349	295
542	349	294
543	350	293
544	350	292
545	351	292
546	352	291
547	352	290
548	353	290
549	353	289
550	354	288
551	355	288
552	355	287
553	356	286
554	356	286
555	357	285
556	357	284
557	358	283
558	358	283
559	359	282
560	359	281
561	360	280
562	360	280
563	361	279
564	361	278
565	362	277
566	362	277
567	363	276
568	364	275
569	364	275
570	365	274
571	365	273
572	366	272
573	366	272
574	367	271
575	367	270
576	368	270
577	369	269
578	370	269
579	371	268
580	372	268
581	373	267
582	373	267
583	375	267
584	376	266
585	376	266
586	377	265
587	378	265
588	379	264
589	379	263
590	380	263
591	381	262
592	381	262
593	382	261
594	383	260
595	384	260
596	385	259
597	385	259
598	386	258
599	387	258
600	387	257
601	388	256
602	389	256
603	389	255
604	390	254
605	390	254
606	391	253
607	391	252
608	392	251
609	393	251
610	393	250
611	394	249
612	394	249
613	395	248
614	395	247
615	396	246
616	396	246
617	397	245
618	397	244
619	397	243
620	398	243
621	399	242
622	399	241
623	400	241
624	400	240
625	401	239
626	401	239
627	402	238
628	403	238
629	404	237
630	405	236
631	405	236
632	406	235
633	406	234
634	407	234
635	407	233
636	408	233
637	409	232
638	410	231
639	410	231
640	411	230
641	411	229
642	412	228
643	412	228
644	413	227
645	413	226
646	414	226
647	414	225
648	415	224
649	416	224
650	417	223
651	417	223
652	418	222
653	419	221
654	419	221
655	420	220
656	420	219
657	421	218
658	421	218
659	422	217
660	422	216
661	423	216
662	424	215
663	424	214
664	425	214
665	425	213
666	426	212
667	426	212
668	427	211
669	427	210
670	428	210
671	429	209
672	429	208
673	430	208
674	431	207
675	431	206
676	432	206
677	433	205
678	433	205
679	434	204
680	434	203
681	435	203
682	435	202
683	436	201
684	436	200
685	437	200
686	438	199
687	438	198
688	438	198
689	439	197
690	439	196
691	440	196
692	440	195
693	441	194
694	441	193
695	442	193
696	442	192
697	443	191
698	443	191
699	444	190
700	444	189
701	445	189
702	445	188
703	446	187
704	446	186
705	447	186
706	448	185
707	449	185
708	449	184
709	450	184
710	451	183
711	451	182
712	452	182
713	453	181
714	453	180
715	454	180
716	454	179
717	455	178
718	455	178
719	456	177
720	456	176
721	457	176
722	457	175
723	458	174
724	458	174
725	459	173
726	459	172
727	460	171
728	460	171
729	461	170
730	461	169
731	462	169
732	463	168
733	464	168
734	465	167
735	465	167
736	466	166
737	467	165
738	468	165
739	469	164
740	470	164
741	472	164
742	473	163
743	473	163
744	474	162
745	475	161
746	476	161
747	477	160
748	478	160
749	479	159
750	480	159
751	480	158
752	481	157
753	482	157
754	482	156
755	483	156
756	484	155
757	484	154
758	485	154
759	485	153
760	486	152
761	487	152
762	487	151
763	488	150
764	488	150
765	489	149
766	489	148
