,price_sold_sek,number_of_rooms,area_size,has_elevator,year_built,annual_fee_sek,annual_cost_sek,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri
0,4400000,3.0,74.0,False,1953.0,4899.0,9000.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1,1015000,1.0,25.0,True,1961.0,2265.0,3120.0,False,False,False,False,False,False,False,False,False,False,False,True,4.0,False,False,False,False,False
2,7450000,3.0,725.0,False,2023.0,4428.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,4.47686698848193,False,False,False,False,False
3,1395000,1.0,40.0,True,1955.0,3250.0,4500.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
4,3150000,1.0,31.0,True,1963.0,1290.0,6804.0,False,False,False,False,False,False,True,False,False,False,False,False,1.0,False,False,False,True,False
5,1750000,1.0,40.0,True,1972.0,2947.0,4200.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
6,4675000,2.0,52.0,True,1927.0,3270.0,1080.0,False,False,False,False,False,False,False,False,False,False,False,True,0.0,False,False,False,False,False
7,3280000,4.0,935.0,True,2004.0,5540.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,False,False
8,3000000,3.0,781.0,True,1974.0,4596.0,1632.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
9,6550000,3.0,935.0,True,2002.0,6406.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
10,2400000,3.0,81.0,True,1970.0,4543.0,2400.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
11,3250000,2.0,49.0,True,1943.0,3545.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
12,2750000,2.0,601.0,True,1983.0,2849.0,6500.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
13,2180000,2.0,30.0,True,1938.0,2265.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
14,6750000,2.0,63.0,True,2018.0,5335.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,11.0,False,False,False,True,False
15,2350000,2.0,49.0,False,2020.0,3175.0,5400.0,False,False,False,False,False,False,False,False,False,False,False,True,3.5458427199162834,False,False,False,False,False
16,2750000,2.0,55.0,True,1949.0,3285.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
17,2800000,2.0,445.0,True,1945.0,3260.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,False,False
18,1985000,5.0,107.0,True,1969.0,7908.0,3312.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
19,1800000,1.0,42.0,True,2017.0,2434.0,3600.0,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
20,2025000,2.0,44.0,False,2002.0,3141.0,6120.0,False,False,False,False,False,False,False,False,False,False,False,True,3.2020839678054216,False,False,False,False,False
21,2750000,3.0,84.0,False,1960.0,3371.0,8700.0,False,False,False,False,False,False,False,False,False,False,False,False,2.4330186442866726,False,False,False,False,False
22,5050000,2.0,59.0,True,1924.0,2973.0,6840.0,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
23,2550000,3.0,81.0,True,1961.0,4401.0,5880.0,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
24,2500000,2.0,535.0,True,1942.0,3381.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
25,4680000,5.0,104.0,True,2018.0,7194.0,6000.0,False,False,False,False,False,False,False,False,False,False,False,False,12.0,False,False,False,False,False
26,3050000,1.0,28.0,True,1932.0,1531.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,4.0,False,False,False,False,False
27,8200000,4.0,97.0,False,2020.0,5722.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,4.327216847647062,False,False,False,False,False
28,5665000,3.0,79.0,True,2016.0,4494.0,4000.0,False,False,True,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
29,2000000,1.0,28.0,True,2022.0,2735.0,7800.0,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
30,5025000,2.0,48.0,True,1932.0,2697.0,6700.0,False,False,False,False,False,False,True,False,False,False,True,False,1.0,False,False,False,False,False
31,6900000,2.0,53.0,True,1887.0,2193.0,2600.0,False,False,False,False,False,False,False,False,False,True,False,False,1.0,False,False,False,False,False
32,4275000,1.0,355.0,True,1961.0,0.0,4800.0,False,False,False,False,False,False,True,False,False,False,False,False,1.0,False,False,False,False,False
33,2770000,3.0,50.0,True,1933.0,3256.0,0.0,False,False,False,False,False,True,False,False,False,False,True,False,1.0,False,False,False,True,False
34,2150000,1.0,34.0,True,1972.0,2150.0,3900.0,False,False,False,False,False,False,False,False,False,False,True,False,4.0,False,False,False,False,False
35,3050000,2.0,38.0,False,1938.0,3059.0,3600.0,True,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
36,5100000,5.0,102.0,True,1972.0,5984.0,6990.0,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
37,8850000,3.0,79.0,True,1907.0,4090.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
38,5550000,2.0,60.0,True,1914.0,3655.0,12276.0,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
39,8750000,3.0,84.0,True,1932.0,4062.0,7235.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
