,number_of_rooms,area_size,has_elevator,year_built,annual_fee_sek,annual_cost_sek,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri,price_sold_sek
0,3.0,74,False,1953.0,4899,9000,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,4400000
1,1.0,25,True,1961.0,2265,3120,False,False,False,False,False,False,False,False,False,False,False,True,4.0,False,False,False,False,False,1015000
3,1.0,40,True,1955.0,3250,4500,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,1395000
4,1.0,31,True,1963.0,1290,6804,False,False,False,False,False,False,True,False,False,False,False,False,1.0,False,False,False,True,False,3150000
5,1.0,40,True,1972.0,2947,4200,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,1750000
6,2.0,52,True,1927.0,3270,1080,False,False,False,False,False,False,False,False,False,False,False,True,0.0,False,False,False,False,False,4675000
7,4.0,935,True,2004.0,5540,0,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,False,False,3280000
8,3.0,781,True,1974.0,4596,1632,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,3000000
10,3.0,935,True,2002.0,6406,0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,6550000
11,3.0,81,True,1970.0,4543,2400,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,2400000
12,2.0,49,True,1943.0,3545,0,False,True,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,3250000
13,2.0,601,True,1983.0,2849,6500,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,2750000
14,2.0,30,True,1938.0,2265,0,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False,2180000
15,2.0,63,True,2018.0,5335,0,False,False,False,False,False,False,False,True,False,False,False,False,11.0,False,False,False,True,False,6750000
17,2.0,55,True,1949.0,3285,0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,2750000
19,2.0,445,True,1945.0,3260,0,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,False,False,2800000
20,5.0,107,True,1969.0,7908,3312,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,1985000
21,1.0,42,True,2017.0,2434,3600,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False,1800000
24,2.0,59,True,1924.0,2973,6840,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False,5050000
25,3.0,81,True,1961.0,4401,5880,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False,2550000
26,2.0,535,True,1942.0,3381,0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,2500000
27,5.0,104,True,2018.0,7194,6000,False,False,False,False,False,False,False,False,False,False,False,False,12.0,False,False,False,False,False,4680000
28,1.0,28,True,1932.0,1531,0,False,False,False,False,True,False,False,False,False,False,False,False,4.0,False,False,False,False,False,3050000
30,3.0,79,True,2016.0,4494,4000,False,False,True,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,5665000
31,1.0,28,True,2022.0,2735,7800,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False,2000000
32,2.0,48,True,1932.0,2697,6700,False,False,False,False,False,False,True,False,False,False,True,False,1.0,False,False,False,False,False,5025000
33,2.0,53,True,1887.0,2193,2600,False,False,False,False,False,False,False,False,False,True,False,False,1.0,False,False,False,False,False,6900000
34,1.0,355,True,1961.0,0,4800,False,False,False,False,False,False,True,False,False,False,False,False,1.0,False,False,False,False,False,4275000
36,3.0,50,True,1933.0,3256,0,False,False,False,False,False,True,False,False,False,False,True,False,1.0,False,False,False,True,False,2770000
37,1.0,34,True,1972.0,2150,3900,False,False,False,False,False,False,False,False,False,False,True,False,4.0,False,False,False,False,False,2150000
38,2.0,38,False,1938.0,3059,3600,True,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,3050000
40,5.0,102,True,1972.0,5984,6990,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False,5100000
41,3.0,79,True,1907.0,4090,0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,8850000
42,2.0,60,True,1914.0,3655,12276,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False,5550000
43,3.0,84,True,1932.0,4062,7235,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,8750000
45,1.0,415,True,2010.0,2150,7860,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False,3500000
46,1.0,40,True,1932.0,0,2400,False,False,False,False,False,False,False,False,False,False,False,True,5.0,False,True,False,False,False,3500000
48,2.0,49,True,2023.0,4256,6000,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,3680000
49,2.0,37,True,1911.0,2145,0,False,False,False,False,False,False,True,False,False,False,True,False,1.0,False,False,False,True,False,3475000
51,2.0,29,True,1940.0,2835,4714,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,2225000
54,2.0,54,True,2011.0,3815,7720,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,2925000
55,1.0,33,True,2020.0,1987,0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,1595000
56,1.0,27,True,1964.0,1733,0,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False,1350000
57,2.0,57,True,2018.0,4932,0,False,False,False,False,False,False,False,True,False,False,False,False,5.0,False,False,False,True,False,5725000
