,region,price_sold_sek,number_of_rooms,area_size,floor_number,has_elevator,year_built,annual_fee_sek,annual_cost_sek,broker,brokerage_firm,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri
0,bagarmossen,4400000,3.0,74,2 av 3,False,1953.0,4899,9000,maria lundberg,svensk fastighetsförmedling farsta-enskede,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
1,åby,1015000,1.0,25,4 av 4,True,1961.0,2265,3120,caroline östlund,skandiamäklarna haninge,False,False,False,False,False,False,False,False,False,False,False,True,4.0,False,False,False,False,False
2,vasastan / hagastaden,7450000,3.0,725,unknown,False,2023.0,4428,0,marianna maatouk,bronze fastighetsförmedling ab,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
3,hässelby gård,1395000,1.0,40,2 av 3,True,1955.0,3250,4500,martina hultkrantz,mäklarringen vällingby/hässelby,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
4,södermalm,3150000,1.0,31,1,True,1963.0,1290,6804,sanna treijs,notar,False,False,False,False,False,False,True,False,False,False,False,False,1.0,False,False,False,True,False
5,saltsjöbaden,1750000,1.0,40,1 av 2,True,1972.0,2947,4200,thomas jonasson,widerlöv nacka/värmdö,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
6,nedre kungsholmen,4675000,2.0,52,0,True,1927.0,3270,1080,natalie strand,fastighetsbyrån stockholm - kungsholmen,False,False,False,False,False,False,False,False,False,False,False,True,0.0,False,False,False,False,False
7,rissne,3280000,4.0,935,7 av 9,True,2004.0,5540,0,gabriel mirza,husmanhagberg sundbyberg,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,False,False
8,gångsätra,3000000,3.0,781,4 av 5,True,1974.0,4596,1632,jakob jahkopson,fastighetsbyrån lidingö,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
10,saltsjöbaden,6550000,3.0,935,4 av 4,True,2002.0,6406,0,henrik silver,bjurfors nacka,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
11,västra orminge,2400000,3.0,81,1 av 3,True,1970.0,4543,2400,alexander björklund,widerlöv nacka/värmdö,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
12,centrala sundbyberg,3250000,2.0,49,2 av 3,True,1943.0,3545,0,sebastian scherdin,husmanhagberg sundbyberg,False,True,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
13,huvudsta,2750000,2.0,601,2 av 8,True,1983.0,2849,6500,andré nasiri,fastighetsbyrån solna,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
14,mariehäll,2180000,2.0,30,2 av 3,True,1938.0,2265,0,marcus nilsson,svenska mäklarhuset sundbyberg,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
15,vasastan,6750000,2.0,63,11,True,2018.0,5335,0,erik wikingskiöld,notar,False,False,False,False,False,False,False,True,False,False,False,False,11.0,False,False,False,True,False
16,sköndal,2350000,2.0,49,unknown,False,2020.0,3175,5400,yosef j. lahlou,fastighetsbyrån farsta/ högdalen/ skogås,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
17,västertorp,2750000,2.0,55,2 av 2,True,1949.0,3285,0,nina eklund,svenska mäklarhuset farsta,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
19,årsta,2800000,2.0,445,1 av 3,True,1945.0,3260,0,leo wessman,husmanhagberg enskede,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,False,False
20,viksjö,1985000,5.0,107,3 av 3,True,1969.0,7908,3312,mathias nesselsten,fastighetsbyrån järfälla,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
21,vällingby parkstad / råcksta,1800000,1.0,42,1 av 4,True,2017.0,2434,3600,micaela rebel,skandiamäklarna vällingby/hässelby/kista,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
22,rönninge,2025000,2.0,44,unknown,False,2002.0,3141,6120,andreas åsberg,svensk fastighetsförmedling botkyrka/salem,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
23,tallhöjden,2750000,3.0,84,unknown,False,1960.0,3371,8700,daniel varli,fastighetsbyrån södertälje,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
24,birkastan,5050000,2.0,59,1 av 4,True,1924.0,2973,6840,karin sahlin,skandiamäklarna stockholm vasastan,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
25,grindtorp,2550000,3.0,81,1 av 4,True,1961.0,4401,5880,jonas wallin,svenska mäklargruppen,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
26,riksby,2500000,2.0,535,1 av 3,True,1942.0,3381,0,malin ivinger,fastighetsbyrån bromma,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
27,bandhagen,4680000,5.0,104,12 av 12,True,2018.0,7194,6000,andy shabo,svensk fastighetsförmedling älvsjö,False,False,False,False,False,False,False,False,False,False,False,False,12.0,False,False,False,False,False
28,kungsholmen,3050000,1.0,28,4 av 6,True,1932.0,1531,0,marko åslund,wallin & co ab,False,False,False,False,True,False,False,False,False,False,False,False,4.0,False,False,False,False,False
29,näsby park,8200000,4.0,97,unknown,False,2020.0,5722,0,mattias lindqvist,magnusson mäkleri ab,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
30,gröndal,5665000,3.0,79,1 av 4,True,2016.0,4494,4000,alexander von satzger,svenska mäklarhuset hägersten/liljeholmen,False,False,True,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
31,nacka strand,2000000,1.0,28,6 av 7,True,2022.0,2735,7800,emma bivstedt,husmanhagberg nacka,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
32,södermalm,5025000,2.0,48,1 av 6,True,1932.0,2697,6700,louise pedersen,husmanhagberg södermalm/gamla stan,False,False,False,False,False,False,True,False,False,False,True,False,1.0,False,False,False,False,False
33,östermalm,6900000,2.0,53,1 av 4,True,1887.0,2193,2600,veronica andersson,behrer & partners,False,False,False,False,False,False,False,False,False,True,False,False,1.0,False,False,False,False,False
