,address,region,date_sold,price_sold_sek,price_listed_sek,price_square_meter_sek,residence_type,number_of_rooms,area_size,balcony,floor_number,elevator,year_built,annual_fee_sek,annual_cost_sek,broker_name,brokerage_firm,date_scraped
0,"Bergsrådsvägen 30, 2tr","Bagarmossen, Stockholms kommun",2023-11-12,4400000,4200000.0,59459,Lägenhet,3.0,74,Ja,2 av 3,False,1953.0,4899,9000,Maria Lundberg,Svensk Fastighetsförmedling Farsta-Enskede
1,Ringvägen 86,"Åby, Haninge kommun",2023-11-12,1015000,1095000.0,40600,Lägenhet,1.0,25,Unknown,4 av 4,True,1961.0,2265,3120,Caroline Östlund,SkandiaMäklarna Haninge
2,Norra Stationsgatan 64B,"Vasastan / Hagastaden, Stockholms kommun",2023-11-12,7450000,7450000.0,102759,Lägenhet,3.0,725,Ja,Unknown,False,2023.0,4428,0,Marianna Maatouk,Bronze Fastighetsförmedling AB
3,"Astrakangatan 97, 1tr","Hässelby Gård, Stockholms kommun",2023-11-12,1395000,1495000.0,34875,Lägenhet,1.0,40,Ja,2 av 3,True,1955.0,3250,4500,Martina Hultkrantz,Mäklarringen Vällingby/Hässelby
4,"Ludvigsbergsgatan 15, 1 tr","Södermalm, Stockholms kommun",2023-11-12,3150000,2795000.0,101613,Lägenhet,1.0,31,Ja,1,True,1963.0,1290,6804,Sanna Treijs,Notar
5,Vasavägen 1,"Saltsjöbaden, Nacka kommun",2023-11-11,1750000,1750000.0,43750,Lägenhet,1.0,40,Ja,1 av 2,True,1972.0,2947,4200,Thomas Jonasson,Widerlöv Nacka/Värmdö
6,Fridhemsgatan 14 A,"Nedre Kungsholmen, Stockholms kommun",2023-11-11,4675000,4800000.0,89904,Lägenhet,2.0,52,Unknown,0,True,1927.0,3270,1080,Natalie Strand,Fastighetsbyrån Stockholm - Kungsholmen
7,Kavallerivägen 20,"Rissne, Sundbybergs kommun",2023-11-11,3280000,3295000.0,35080,Lägenhet,4.0,935,Ja,7 av 9,True,2004.0,5540,0,Gabriel Mirza,HusmanHagberg Sundbyberg
8,Högsätravägen 13,"Gångsätra, Lidingö kommun",2023-11-11,3000000,3175000.0,38412,Lägenhet,3.0,781,Ja,4 av 5,True,1974.0,4596,1632,Jakob Jahkopson,Fastighetsbyrån Lidingö
9,"Kornvägen 12, 6 tr",Botkyrka,2023-11-11,1775000,2095000.0,22611,Lägenhet,3.0,785,Ja,6 av 7,True,19711974.0,4967,1500,Marcus Deniz,Fastighetsbyrån Norra Botkyrka
10,Skidbacksvägen 6,Saltsjöbaden,2023-11-11,6550000,6450000.0,70053,Lägenhet,3.0,935,Ja,4 av 4,True,2002.0,6406,0,Henrik Silver,Bjurfors Nacka
11,Skarpövägen 11,"Västra Orminge, Nacka kommun",2023-11-11,2400000,2395000.0,29630,Lägenhet,3.0,81,Ja,1 av 3,True,1970.0,4543,2400,Alexander Björklund,Widerlöv Nacka/Värmdö
12,Friluftsvägen 5B,"Centrala Sundbyberg, Sundbybergs kommun",2023-11-11,3250000,2995000.0,66327,Lägenhet,2.0,49,Ja,2 av 3,True,1943.0,3545,0,Sebastian Scherdin,HusmanHagberg Sundbyberg
13,"Storgatan 52, 2 tr","Huvudsta, Solna kommun",2023-11-11,2750000,2895000.0,45757,Lägenhet,2.0,601,Ja,2 av 8,True,1983.0,2849,6500,André Nasiri,Fastighetsbyrån Solna
14,Solbergsvägen 47,"Mariehäll, Stockholms kommun",2023-11-11,2180000,2150000.0,72667,Lägenhet,2.0,30,Nej,2 av 3,True,1938.0,2265,0,Marcus Nilsson,Svenska Mäklarhuset Sundbyberg
15,Torsplan 8,Vasastan,2023-11-11,6750000,6750000.0,107143,Lägenhet,2.0,63,Ja,11,True,2018.0,5335,0,Erik Wikingskiöld,Notar
16,Sköndalsvägen 111,"Sköndal, Stockholms kommun",2023-11-11,2350000,1975000.0,47959,Lägenhet,2.0,49,Unknown,Unknown,False,2020.0,3175,5400,Yosef J. Lahlou,Fastighetsbyrån Farsta/ Högdalen/ Skogås
17,Terrängvägen 31,Västertorp,2023-11-11,2750000,2495000.0,50000,Lägenhet,2.0,55,Ja,2 av 2,True,1949.0,3285,0,Nina Eklund,Svenska Mäklarhuset Farsta
18,Esplanaden 16 A,"Grossgärdet, Norrtälje kommun",2023-11-11,1000000,1150000.0,29851,Lägenhet,1.0,335,Unknown,1 av 3,True,,1467,4296,Jacob Lund,Fastighetsbyrån Norrtälje
19,Siljansvägen 28,"Årsta, Stockholms kommun",2023-11-11,2800000,,62921,Lägenhet,2.0,445,Ja,1 av 3,True,1945.0,3260,0,Leo Wessman,HusmanHagberg Enskede
20,Axvägen 25,"Viksjö, Järfälla kommun",2023-11-11,1985000,1995000.0,18551,Lägenhet,5.0,107,Ja,3 av 3,True,1969.0,7908,3312,Mathias Nesselsten,Fastighetsbyrån Järfälla
21,"Östersundsgatan 6, Bottenvåning (31013/1003)","Vällingby Parkstad / Råcksta, Stockholms kommun",2023-11-11,1800000,1750000.0,42857,Lägenhet,1.0,42,Unknown,1 av 4,True,2017.0,2434,3600,Micaela Rebel,SkandiaMäklarna Vällingby/Hässelby/Kista
22,Skogsrovägen 7,"Rönninge, Salems kommun",2023-11-11,2025000,1995000.0,46023,Lägenhet,2.0,44,Unknown,Unknown,False,2002.0,3141,6120,Andreas Åsberg,Svensk Fastighetsförmedling Botkyrka/Salem
23,Lövlundsgatan 23,"Tallhöjden, Södertälje kommun",2023-11-11,2750000,2595000.0,32738,Lägenhet,3.0,84,Ja,Unknown,False,1960.0,3371,8700,Daniel Varli,Fastighetsbyrån Södertälje
24,"Vikingagatan 43, 1½tr",Birkastan,2023-11-11,5050000,4995000.0,85593,Lägenhet,2.0,59,Unknown,1 av 4,True,1924.0,2973,6840,Karin Sahlin,SkandiaMäklarna Stockholm Vasastan
25,Meteorvägen 20,"Grindtorp, Täby kommun",2023-11-11,2550000,2495000.0,31481,Lägenhet,3.0,81,Unknown,1 av 4,True,1961.0,4401,5880,Jonas Wallin,Svenska Mäklargruppen
26,Kvarnbacksvägen 125,"Riksby, Stockholms kommun",2023-11-11,2500000,2495000.0,46729,Lägenhet,2.0,535,Ja,1 av 3,True,1942.0,3381,0,Malin Ivinger,Fastighetsbyrån Bromma
27,Stenkvistavägen 10 vån 12/12,"Bandhagen, Stockholms kommun",2023-11-11,4680000,4750000.0,45000,Lägenhet,5.0,104,Ja,12 av 12,True,2018.0,7194,6000,Andy Shabo,Svensk Fastighetsförmedling Älvsjö
28,"Bergsgatan 49, 3 tr","Kungsholmen, Stockholms kommun",2023-11-11,3050000,2950000.0,108929,Lägenhet,1.0,28,Ja,4 av 6,True,1932.0,1531,0,Marko Åslund,Wallin & Co AB
29,Fänrikens gata 5,"Näsby Park, Täby kommun",2023-11-11,8200000,8350000.0,84536,Lägenhet,4.0,97,Nej,Unknown,False,2020.0,5722,0,Mattias Lindqvist,Magnusson Mäkleri AB
30,Lövholmsvägen 74,"Gröndal, Stockholms kommun",2023-11-11,5665000,5495000.0,71709,Lägenhet,3.0,79,Ja,1 av 4,True,2016.0,4494,4000,Alexander von Satzger,Svenska Mäklarhuset Hägersten/Liljeholmen
31,"Lokomobilvägen 2G, vån 6","Nacka strand, Nacka kommun",2023-11-11,2000000,1995000.0,71429,Lägenhet,1.0,28,Ja,6 av 7,True,2022.0,2735,7800,Emma Bivstedt,HusmanHagberg Nacka
32,"Tavastgatan 14, 1 tr",Södermalm,2023-11-11,5025000,4795000.0,104688,Lägenhet,2.0,48,Nej,1 av 6,True,1932.0,2697,6700,Louise Pedersen,HusmanHagberg Södermalm/Gamla Stan
33,"Skeppargatan 52a, Ög 1tr","Östermalm, Stockholms kommun",2023-11-11,6900000,6995000.0,130189,Lägenhet,2.0,53,Ja,1 av 4,True,1887.0,2193,2600,Veronica Andersson,Behrer & Partners
34,"Bjurholmsgatan 12, 1tr","Södermalm, Stockholms kommun",2023-11-11,4275000,3995000.0,120423,Lägenhet,1.0,355,Ja,1,True,1961.0,0,4800,Mikaela Bogestedt,Södermäklarna
35,Huggarvägen 9,"Västerhaninge, Haninge kommun",2023-11-11,1750000,1795000.0,18617,Lägenhet,4.0,94,Unknown,3 av 3,True,,7207,3000,Veronika Andersson Gosk,Mäklarhuset Haninge
36,"Vasavägen 22, 1 tr",Råsunda,2023-11-11,2770000,2495000.0,55400,Lägenhet,3.0,50,Nej,1 av 2,True,1933.0,3256,0,Michaela Holmström,Notar
37,Fogdevreten 4,"Karolinska, Solna kommun",2023-11-11,2150000,1995000.0,63235,Lägenhet,1.0,34,Nej,4 av 4,True,1972.0,2150,3900,Ebba Henriksson,Svenska Mäklarhuset Solna
38,"Mössebergsvägen 7, 3/3tr",Bromma,2023-11-11,3050000,3050000.0,80263,Lägenhet,2.0,38,Ja,3 av 3,False,1938.0,3059,3600,Gustav Strand,BOSTHLM Bromma
39,Blommensbergsvägen 103,"Aspudden, Stockholms kommun",2023-11-11,2900000,2995000.0,67442,Lägenhet,2.0,43,Nej,1 av 3,True,,2962,4000,Alexander von Satzger,Svenska Mäklarhuset Hägersten/Liljeholmen
40,"Mörbylund 23, 6tr","Mörbylund, Danderyds kommun",2023-11-10,5100000,4995000.0,50000,Lägenhet,5.0,102,Ja,6 av 10,True,1972.0,5984,6990,Shervin Hashemi,Fastighetsbyrån Danderyd
41,"Norra Agnegatan 36A, 3 tr","Kungsholmen Rådhuset, Stockholms kommun",2023-11-10,8850000,8495000.0,112025,Lägenhet,3.0,79,Ja,3 av 4,True,1907.0,4090,0,Kajsa Allermalm,HusmanHagberg Kungsholmen
42,Kocksgatan 41,"Södermalm Sofia, Stockholms kommun",2023-11-10,5550000,5395000.0,92500,Lägenhet,2.0,60,Nej,1 av 3,True,1914.0,3655,12276,Caroline Klasson,Bjurfors Södermalm
43,Storskärsgatan 4,"Östermalm / Nedre Gärdet, Stockholms kommun",2023-11-10,8750000,8750000.0,104167,Lägenhet,3.0,84,Ja,1,True,1932.0,4062,7235,Richard Petersson,Fastighetsbyrån Stockholm – Östermalm
44,Bygatan 39,"Huvudsta, Solna kommun",2023-11-10,3700000,3895000.0,42045,Lägenhet,3.0,88,Ja,1 av 7,True,,5337,7200,André Nasiri,Fastighetsbyrån Solna
45,"Öregrundsgatan 15, 6 tr","Gärdet, Stockholms kommun",2023-11-10,3500000,3500000.0,84337,Lägenhet,1.0,415,Ja,6 av 10,True,2010.0,2150,7860,Viktor Bjälkenfalk,Länsförsäkringar Fastighetsförmedling Stockholm - Östermalm
46,"Götgatan 90A, högst upp","Katarina, Stockholms kommun",2023-11-10,3500000,3450000.0,87500,Lägenhet,1.0,40,Unknown,5 av 5,True,1932.0,0,2400,Felipe Osorio Åström,Fastighetsbyrån Stockholm - Södermalm
47,"Kevingeringen 24, Vån 3/3","Kevinge, Danderyds kommun",2023-11-10,3725000,3950000.0,53986,Lägenhet,3.0,69,Ja,3 av 3,True,19571961.0,3482,0,Mattias Mardini,Fastighetsbyrån Danderyd
48,Tranebergsvägen 15B,"Bromma Traneberg, Stockholms kommun",2023-11-10,3680000,3580000.0,75102,Lägenhet,2.0,49,Ja,3 av 4,True,2023.0,4256,6000,Joel Beck-Friis,HusmanHagberg Bromma
49,Heleneborgsgatan 13A,Södermalm,2023-11-10,3475000,3195000.0,93919,Lägenhet,2.0,37,Nej,1,True,1911.0,2145,0,Pelle Lundin Andersson,Notar
50,Gränsgatan 30,"Råsunda, Solna kommun",2023-11-10,3545000,3695000.0,63304,Lägenhet,2.0,56,Ja,Unknown,False,2019.0,3439,4020,Aleidon Adam,Länsförsäkringar Fastighetsförmedling Solna
51,"Lötmogatan 7, vån 3","Midsommarkransen, Stockholms kommun",2023-11-10,2225000,2195000.0,76724,Lägenhet,2.0,29,Ja,3 av 4,True,1940.0,2835,4714,Kristoffer Pettersson,Svenska Mäklarhuset Hägersten/Liljeholmen
52,"Katarina Bangata 35, 1 tr",Södermalm,2023-11-10,6850000,6795000.0,107031,Lägenhet,3.0,64,Nej,Unknown,False,1912.0,3797,7200,Babil Yilmaz,Södermäklarna
53,Engelsbergsvägen 47,"Rönninge, Salems kommun",2023-11-10,2900000,3350000.0,32584,Lägenhet,4.0,89,Ja,Unknown,False,1999.0,3630,7200,Ann Sjöblom,Fastighetsbyrån Salem
54,"Dartanjangs Gata 46, 4tr.","Bromma / Annedal, Stockholms kommun",2023-11-10,2925000,2850000.0,54167,Lägenhet,2.0,54,Ja,4 av 5,True,2011.0,3815,7720,Daniel Andersson,Svenska Mäklarhuset Bromma
55,Nynäsvägen 98,"Centrala Handen, Haninge kommun",2023-11-10,1595000,1595000.0,48333,Lägenhet,1.0,33,Ja,2 av 7,True,2020.0,1987,0,Elin Hultman,MOHV Haninge/Tyresö
56,Granitvägen 38C,"Tyresö Centrum, Tyresö kommun",2023-11-10,1350000,1350000.0,50000,Lägenhet,1.0,27,Nej,1 av 3,True,1964.0,1733,0,David Hedenström,HusmanHagberg Tyresö/Älta
57,Torsplan 8,Vasastan,2023-11-10,5725000,5895000.0,100439,Lägenhet,2.0,57,Ja,5,True,2018.0,4932,0,Erik Wikingskiöld,Notar
58,Vaktbergsvägen 13B,"Norra Nynäshamn, Nynäshamns kommun",2023-11-10,1195000,1295000.0,20427,Lägenhet,2.0,585,Ja,3 av 3,True,1961.0,4811,6360,Elin Norin,Länsförsäkringar Fastighetsförmedling Nynäshamn
59,Gamla Huddingevägen 417,"Örby, Stockholms kommun",2023-11-10,1400000,1495000.0,51852,Lägenhet,1.0,27,Nej,1 av 3,True,1958.0,1608,7040,Jessica Holappa,HusmanHagberg Hägersten
60,Norr Mälarstrand 18,Kungsholmen,2023-11-10,11000000,11200000.0,93220,Lägenhet,3.0,118,Nej,0,True,1930.0,2835,6600,Vilhelm Åman,Bjurfors Kungsholmen
61,Tegelviksgatan 14,"Södermalm, Stockholms kommun",2023-11-10,5375000,5995000.0,70724,Lägenhet,3.0,76,Nej,Unknown,False,2023.0,4101,0,Eric Hultman,Notar
62,Årstavägen 31,"Årsta, Stockholms kommun",2023-11-10,5200000,4850000.0,70270,Lägenhet,3.0,74,Ja,1 av 6,True,1946.0,3786,4000,Johan Nilsson,HusmanHagberg Enskede
63,Terapivägen 10C,"Flemingsberg, Huddinge kommun",2023-11-10,1270000,1195000.0,15301,Lägenhet,3.0,83,Ja,11 av 11,True,1975.0,8366,4884,Mithat Bircan,Notar
64,Parkvägen 9,"Järfälla Barkarbystaden, Järfälla kommun",2023-11-10,3395000,3595000.0,37104,Lägenhet,3.0,915,Nej,1 av 5,True,2015.0,5249,8268,Günay Coksürer,Notar
65,Ursula Printz gata 3,"Porslinskvarteren, Värmdö kommun",2023-11-10,2820000,3000000.0,44063,Lägenhet,2.0,64,Ja,4 av 5,True,2015.0,4111,5160,Morgan Flodman,Widerlöv Nacka/Värmdö
66,"Åkervägen 2, 2 tr.","Helenelund, Sollentuna kommun",2023-11-10,2550000,2595000.0,33553,Lägenhet,3.0,76,Ja,3 av 3,True,1944.0,5786,5400,Torbjörn Johansson,HusmanHagberg Sollentuna
67,"Folkungagatan 56, 3 tr","Södermalm, Stockholms kommun",2023-11-10,8300000,7450000.0,100000,Lägenhet,3.0,83,Ja,3,True,1974.0,2122,6600,Makis Batsoulis,Södermäklarna
68,"Sankt Eriksgatan 64, 5tr","Vasastan, Stockholms kommun",2023-11-10,4525000,4475000.0,98370,Lägenhet,2.0,46,Ja,5 av 8,True,1929.0,1277,0,Nadine Ekstrand,HusmanHagberg Vasastan
69,Hammarby allé 55B,Södermalm,2023-11-10,13800000,16000000.0,99281,Lägenhet,4.0,139,Ja,6 av 6,True,2014.0,7529,25059,Andreas Nylén,Tradition Mäkleri
70,Torsvikssvängen 41,"Torsvik, Lidingö kommun",2023-11-10,3280000,3250000.0,61080,Lägenhet,2.0,537,Ja,2 av 6,True,1945.0,2687,0,Sebastian Granath,HusmanHagberg Lidingö
71,Järnvägsgatan 70,"Centrala Sundbyberg, Sundbybergs kommun",2023-11-10,4550000,4395000.0,62329,Lägenhet,3.0,73,Unknown,3 av 4,True,1929.0,4104,6840,Victor Lasses,Fastighetsbyrån Sundbyberg
72,Folkskolegatan 20,"Högalid, Stockholms kommun",2023-11-10,7700000,7850000.0,87500,Lägenhet,3.0,88,Ja,1,True,1928.0,5495,14734,Pontus Sjödin,Fastighetsbyrån Stockholm - Södermalm
73,Mastvägen 6A,"Vendelsö, Haninge kommun",2023-11-10,2320000,2395000.0,37724,Lägenhet,2.0,615,Nej,Unknown,False,1966.0,4266,4200,Karolina Christiernsson,Bjurfors Haninge
74,Ormingeringen 10C,"Västra Orminge, Nacka kommun",2023-11-10,2595000,2595000.0,28516,Lägenhet,3.0,91,Ja,1 av 2,True,1970.0,6327,3000,Alexander Björklund,Widerlöv Nacka/Värmdö
75,Torvmossvägen 6C,"Nykvarn, Nykvarns kommun",2023-11-10,2750000,2750000.0,41045,Lägenhet,3.0,67,Ja,Unknown,False,2018.0,6301,7734,Johanna Enström,Fastighetsbyrån Nykvarn
76,"Anders Reimers väg 17, 2 tr","Reimersholme, Stockholms kommun",2023-11-10,3900000,4950000.0,96296,Lägenhet,2.0,405,Nej,2 av 7,True,1942.0,2959,5880,Helen Larsson,Erik Olsson Fastighetsförmedling
77,Grenljusbacken 21,"Gröndal, Stockholms kommun",2023-11-10,3900000,3895000.0,72222,Lägenhet,3.0,54,Nej,Unknown,False,1959.0,2444,0,Nicklas Talvitie,Notar
78,VECKOVÄGEN 37,"Jakobsberg, Järfälla kommun",2023-11-10,1600000,1645000.0,35556,Lägenhet,1.0,45,Ja,1,True,19611962.0,3226,0,Ian Collett,Fastighetsbyrån Järfälla
79,Lägerhöjdsgatan 9D,"Vaxholm, Vaxholms kommun",2023-11-10,4795000,4795000.0,64797,Lägenhet,3.0,74,Ja,1 av 3,True,2023.0,4958,0,Lisa Beckman,Erik Olsson Nyproduktion
80,Kungsgatan 77,Kungsholmen,2023-11-10,17750000,21000000.0,116546,Lägenhet,5.0,1523,Ja,5 av 5,True,1906.0,6425,41316,Patrik Lundberg,Widerlöv Kungsholmen
81,Tunvägen 1A,"Grind, Norrtälje kommun",2023-11-10,1270000,1295000.0,18676,Lägenhet,2.0,68,Ja,2 av 2,True,1967.0,4883,1692,Fredrik Jöngren,Länsförsäkringar Fastighetsförmedling Norrtälje
82,Svartviksslingan 94,"Minneberg, Stockholms kommun",2023-11-10,5475000,5475000.0,68868,Lägenhet,3.0,795,Ja,6 av 7,True,1986.0,5082,0,Jimmie Rönnbäck,MOHV Bromma
83,Mariekällgatan 38,"Mariekäll, Södertälje kommun",2023-11-10,1545000,1545000.0,26410,Lägenhet,2.0,585,Ja,3 av 4,True,,4253,6560,Tobias Bemarre,Fastighetsbyrån Södertälje
84,"Nybohovsbacken 67, 8tr","Liljeholmen, Stockholms kommun",2023-11-10,3575000,3195000.0,60593,Lägenhet,2.0,59,Ja,Unknown,False,1960.0,2211,0,Nicklas Talvitie,Notar
85,Svärdlångsvägen 58,"Årsta, Stockholms kommun",2023-11-10,7100000,6995000.0,61207,Lägenhet,6.0,116,Ja,2 av 3,True,1951.0,6156,7500,Leo Wessman,HusmanHagberg Enskede
